change_plants|Change Plants
forest_management|Forest Management
forest_management_only_this|Only set the management mode for this forest.
forest_management_all|Set the management mode for all forests
forest_management_question_1|What should woodcutters do with all forests?
forest_management_question_2|What should woodcutters do with this forest?
forest_regrow|Cut Down and Regrow
forest_regrow_description_1|Cut them down, then let them regrow.
forest_regrow_description_2|Cut it down, then let it regrow.
forest_protect|Protect
forest_protect_description_1|Don't cut them down.
forest_protect_description_2|Don't cut it down.
forest_uproot|Cut Down and Uproot
forest_uproot_description_1|Cut them down to make room for other things.
forest_uproot_description_2|Cut it down to make room for other things.
forest_instant_uproot|Uproot
forest_instant_uproot_description|Instantly destroy this forest.
prioritized|Prioritized
prioritize|Prioritize
prioritize_description_1|Woodcutters will cut this forest first. [Tap] to disable.
prioritize_description_2|When prioritized, woodcutters will cut this forest first.
really_uproot|Really Uproot?

pct_grown|[0]% grown.
pct_left|[0]/[1] [2] left.

rock|Rock
rock_mining|Rock Mining
set_management_rock|Only set the management mode for this rock.
set_management_all_rocks|Set the management mode for all rocks
rock_management_question_1|What should miners do with all rocks?
rock_management_question_2|What should miners do with this rock?
rock_management_mine|Mine
rock_management_mine_description_1|Mine them.
rock_management_mine_description_2|Mine the rock.
rock_management_protect_description_1|Don't mine rocks; keep them as decoration.
rock_management_protect_description_2|Don't mine the rock; keep it as decoration.
rock_prioritized_description|Stone miners will mine this rock first. [Tap] to disable.
rock_prioritized_description_2|When prioritized, stone miners will mine this rock first.

buildinginfo.json/NormalHouse.name|House
buildinginfo.json/NormalHouse.description|Your citizens will certainly appreciate a roof above their heads.
buildinginfo.json/AlienHouse.name|Alien House
buildinginfo.json/AlienHouse.description|Five people can live in this strange home full of otherworldly technology.
buildinginfo.json/ModernRusticHome.name|Modern Rustic Home
buildinginfo.json/ModernRusticHome.description|This rustic-looking house makes people think of Earth. The housing quality is increased by 15 if there are at least three other modern rustic homes or parks next to it.
buildinginfo.json/ModernRusticHome.tooltipBottomIconInfo_0|Range for quality increase check
buildinginfo.json/ComfortableHouse.name|Wooden House
buildinginfo.json/ComfortableHouse.description|It's not exactly luxurious, but still quite comfortable.
buildinginfo.json/MechanicalHouse.name|Mechanical House
buildinginfo.json/MechanicalHouse.description|The mechanics and heating of this house need a Machine Parts Factory to function. The housing quality is increased by 50 if there is one next to it.
buildinginfo.json/MechanicalHouse.showUnlockHint|Build at least three Machine Parts Factories to unlock!
buildinginfo.json/MechanicalHouse.tooltipBottomIconInfo_0|Range for quality increase check
buildinginfo.json/SpaciousHouse.name|Spacious House
buildinginfo.json/SpaciousHouse.description|A modern house with lots of space.
buildinginfo.json/CuttingEdgeHome.name|Cutting-Edge House
buildinginfo.json/CuttingEdgeHome.description|A hypermodern home filled with technology.
buildinginfo.json/CuttingEdgeHome.showUnlockHint|Build the Living Research Center to unlock!
buildinginfo.json/ParkPod.name|Park Pod
buildinginfo.json/ParkPod.description|A home in the middle of a park.
buildinginfo.json/TinkerersHome.name|Tinkerers' House
buildinginfo.json/TinkerersHome.description|This house is designed for makers and inventors. Residents earn extra education.
buildinginfo.json/FarmHouse.name|Community House
buildinginfo.json/FarmHouse.description|This house gives a strong sense of community. Produces a small amount of food, wood or stone for each resident. Most upgrades don't apply to this production.
buildinginfo.json/BlossomHut.name|Blossum Hut
buildinginfo.json/BlossomHut.description|Residents of this hut will really flourish!
buildinginfo.json/BlossomHut.showUnlockHint|Build ten blossom restaurants to unlock!
buildinginfo.json/FuturisticHome.name|Futuristic Home
buildinginfo.json/FuturisticHome.description|Residents automatically gain healthcare and some education.
buildinginfo.json/Villa.name|Villa
buildinginfo.json/Villa.description|A luxurious, modern villa complete with a private teleporter.
buildinginfo.json/FlowerPenthouse.name|Flower Penthouse
buildinginfo.json/FlowerPenthouse.description|A lavish rooftop house. It makes residents live longer. It also comes with a private teleporter.
buildinginfo.json/LandingSite.name|Landing Pad
buildinginfo.json/LandingSite.description|The landing pad works like a bus stop in space. People can take a space ship from here to other landing pads. Can only be placed on the ground or on a rooftop.
buildinginfo.json/LandedExplorationShip.name|Landed Exploration Ship
buildinginfo.json/LandedExplorationShip.description|Living in this exploration ship may not be very comfortable, but it's certainly very adventurous! Can only be placed on the ground or on a rooftop.
buildinginfo.json/HyperElevator.name|Hyper Elevator
buildinginfo.json/HyperElevator.description|Allows citizens to quickly go to elevators above and below in the same contiguous building. There may be other buildings in between the elevators.
buildinginfo.json/HyperElevator.showUnlockHint|Have at least 200 citizens to unlock!
buildinginfo.json/TrainStation.name|Train Station
buildinginfo.json/TrainStation.description|Allows citizens to travel horizontally to other train stations. There may be other buildings in between them. Each train station comes with one train.
buildinginfo.json/Teleporter.name|Teleporter
buildinginfo.json/Teleporter.description|The very fastest form of transportation. Allows citizens to instantly go to other teleporters.
buildinginfo.json/WoodcuttingCentre.name|Woodcutting Center
buildinginfo.json/WoodcuttingCentre.description|Woodcutters retrieve their materials here, then go to the nearest forest to cut wood.
buildinginfo.json/StoneMine.name|Stone Mine
buildinginfo.json/StoneMine.description|Stone miners retrieve their materials here, then go to the nearest rock to mine stone.
buildinginfo.json/IndoorFarm.name|Indoor Farm
buildinginfo.json/IndoorFarm.description|Crops can be grown here to produce food.
buildinginfo.json/ExplorationCentre.name|Exploration Center
buildinginfo.json/ExplorationCentre.description|Explore alien ruins to gain knowledge, resources and special bonuses. When all ruins have been explored, workers will investigate their findings to gain more knowledge.
buildinginfo.json/MachinePartsFactory.name|Machine Parts Factory
buildinginfo.json/MachinePartsFactory.description|Produces machine parts from stone. Three stone is needed to make one machine part.
buildinginfo.json/Laboratory.name|Lab
buildinginfo.json/Laboratory.description|Scientists gather knowledge here. Also has upgrades boosting adjacent farms and tree plantations.
buildinginfo.json/Laboratory.tooltipBottomIconInfo_0|Boost range for upgrades
buildinginfo.json/TreePlantation.name|Tree Plantation
buildinginfo.json/TreePlantation.description|These trees are kept in an optimal environment and regrow faster than trees on the world surface. Woodcutters from a Woodcutting Center can help cut them down.
buildinginfo.json/StoneTeleporter.name|Rock Teleporter
buildinginfo.json/StoneTeleporter.description|Teleports meteoroids to your city. Doesn't produce stone by itself; miners from Stone Mines can gather stone from the meteroids.
buildinginfo.json/RefinedMetalFactory.name|Refined Metals Factory
buildinginfo.json/RefinedMetalFactory.description|Produces refined metals from stone. Five stone is needed to make one unit of refined metal.
buildinginfo.json/ComputerChipFactory.name|Computer Chip Factory
buildinginfo.json/ComputerChipFactory.description|Produces computer chips from refined metals. Seven units of refined metals are needed to make one computer chip.!unlocks
buildinginfo.json/EcoFarm.name|Eco Farm
buildinginfo.json/EcoFarm.description|Produces food sustainably. Also generates a small amount of nature entertainment happiness.
buildinginfo.json/EcoFarm.showUnlockHint|Build an Experimental Farm and ten Botanical Gardens to unlock!
buildinginfo.json/FarmByProductProcessor.name|Farm By-Product Processor
buildinginfo.json/FarmByProductProcessor.description|Produces wood for each adjacent farm. Each farm only produces enough by-products for one By-Product Processor.
buildinginfo.json/FarmByProductProcessor.tooltipBottomIconInfo_0|Processing Range
buildinginfo.json/ExperimentationLab.name|Experimentation Lab
buildinginfo.json/ExperimentationLab.description|Scientists experiment with machine parts here. You earn five knowledge for every machine part used. This knowledge production is faster than with normal labs.\nRefined Metal Factories above and below this building work faster and use 10% less stone per unit of refined metal.
buildinginfo.json/ExperimentationLab.showUnlockHint|Build twelve mechanical houses, ten refined metal factories and three computer chip factories to unlock!
buildinginfo.json/ExperimentationLab.tooltipBottomIconInfo_0|Boost Range
buildinginfo.json/GrapheneLab.name|Graphene Lab
buildinginfo.json/GrapheneLab.description|This lab researches the production and applications of graphene. Workers gather knowledge. They also slowly produce graphene for two stone per sheet.
buildinginfo.json/GrapheneFactory.name|Graphene Factory
buildinginfo.json/GrapheneFactory.description|This factory makes graphene. To make one sheet of graphene, 10 knowledge and one stone is used. If the building is placed to the right of a rock teleporter, no stone is used.
buildinginfo.json/GrapheneFactory.tooltipBottomIconInfo_0|Rock teleporter usage
buildinginfo.json/CacaoFarm.name|Cacao Farm
buildinginfo.json/CacaoFarm.description|Cacao is grown here. It can be used directly as food or to make chocolate.
buildinginfo.json/CacaoFarm.showUnlockHint|(this building has been scrapped earlier in development)
buildinginfo.json/ChocolateFactory.name|Chocolate Factory
buildinginfo.json/ChocolateFactory.description|This factory uses cacao to make chocolate.
buildinginfo.json/ChocolateFactory.showUnlockHint|(this building has been scrapped earlier in development)
buildinginfo.json/School.name|School
buildinginfo.json/School.description|Educates children, improving how effective they'll be at some jobs later.
buildinginfo.json/Library.name|Library
buildinginfo.json/Library.description|Improves the education of visitors of all ages.
buildinginfo.json/HerbGarden.name|Herb Garden
buildinginfo.json/HerbGarden.description|Herbs and spices are grown here. They make food taste better, reducing the amount of food people need. Also has an extra effect depending on the herb type.
buildinginfo.json/HerbGarden.showUnlockHint|Build two restaurants to unlock!
buildinginfo.json/MedicalClinic.name|Medical Clinic
buildinginfo.json/MedicalClinic.description|Helps people live longer and better.
buildinginfo.json/MedicalClinic.showUnlockHint|Build a Refined Metals Factory to unlock!
buildinginfo.json/Pub.name|Pub
buildinginfo.json/Pub.description|A great place for people to get together.
buildinginfo.json/Restaurant.name|Restaurant
buildinginfo.json/Restaurant.description|A cozy place with nice food.
buildinginfo.json/Restaurant.showUnlockHint|Build at least five Pubs to unlock!
buildinginfo.json/FactoryPub.name|Factory Pub
buildinginfo.json/FactoryPub.description|A charming little pub that doubles up as a refined metals factory.\nIt can't be boosted by Experimentation Labs, though.
buildinginfo.json/BlossomRestaurant.name|Blossom Restaurant
buildinginfo.json/BlossomRestaurant.description|Dine under the beautiful tree blossom! If you build multiple restaurants on top of each other, people can sit on tree branches.
buildinginfo.json/Park.name|Park
buildinginfo.json/Park.description|A nice place to relax.
buildinginfo.json/BotanicalGardens.name|Botanical Gardens
buildinginfo.json/BotanicalGardens.description|A nice garden full of exotic plants.
buildinginfo.json/BotanicalGardens.showUnlockHint|Build at least ten Parks and five Labs to unlock!
buildinginfo.json/Aquarium.name|Aquarium
buildinginfo.json/Aquarium.description|Makes your city a bit more fishy and provides nature entertainment.
buildinginfo.json/Aquarium.showUnlockHint|Build at least twelve herb gardens to unlock!
buildinginfo.json/NightClub.name|Nightclub
buildinginfo.json/NightClub.description|Some people will have a lot of fun in this nightclub.
buildinginfo.json/ScrapyardNightClub.name|Scrapyard Nightclub
buildinginfo.json/ScrapyardNightClub.description|A nightclub full of strange luminous machines.
buildinginfo.json/ModernArtMuseum.name|Modern Art Museum
buildinginfo.json/ModernArtMuseum.description|Abstract art by upcoming artists.
buildinginfo.json/ModernArtMuseum.showUnlockHint|Build a Refined Metals Factory to unlock!
buildinginfo.json/StatueGarden.name|Sculpture Garden
buildinginfo.json/StatueGarden.description|A garden filled with art.
buildinginfo.json/BoardGameStore.name|Board Game Store
buildinginfo.json/BoardGameStore.description|People love to play board games together.
buildinginfo.json/BoardGameStore.showUnlockHint|(this building has been scrapped earlier in development)
buildinginfo.json/Arcade.name|Arcade
buildinginfo.json/Arcade.description|Fun games for the whole family.
buildinginfo.json/Arcade.showUnlockHint|Build a Computer Chip Factory to unlock!
buildinginfo.json/HoloGameHall.name|Holo Game Hall
buildinginfo.json/HoloGameHall.description|Bring gaming into the future!
buildinginfo.json/Workshop.name|Workshop
buildinginfo.json/Workshop.description|Makes all machine parts factories in your city work faster. Also, workers can gather knowledge or produce machine parts from wood.
buildinginfo.json/ResearchBot.name|Research Craft
buildinginfo.json/ResearchBot.description|A researcher can gather knowledge from this little spacecraft. There can be no building or world directly above this.
buildinginfo.json/ExperimentalFarm.name|Experimental Farm
buildinginfo.json/ExperimentalFarm.description|Food is produced here. Also slightly increases the growth speed of crops in indoor farms.
buildinginfo.json/Observatory.name|Observatory
buildinginfo.json/Observatory.description|Produces knowledge. Can only be placed on the ground or on a rooftop.
buildinginfo.json/ArtColony.name|Art Colony
buildinginfo.json/ArtColony.description|A house full of creativity. Generates art entertainment happiness.
buildinginfo.json/ArtColony.showUnlockHint|Build at least three Modern Art Museums to unlock!
buildinginfo.json/CityHall.name|City Hall
buildinginfo.json/CityHall.description|Allows you to implement city policies and to change the name of your city.
buildinginfo.json/StoneResearchCenter.name|Mining Research Center
buildinginfo.json/StoneResearchCenter.description|Boosts stone production based on your knowledge production and the number of workers.
buildinginfo.json/StoneResearchCenter.showUnlockHint|Build at least 15 Stone Mines and three Rock Teleporters to unlock!
buildinginfo.json/ComputerResearchCenter.name|Computing Research Center
buildinginfo.json/ComputerResearchCenter.description|Produces knowledge and allows you to research and build Computer Chip Factories.
buildinginfo.json/ComputerResearchCenter.showUnlockHint|Build at least five Labs and a Refined Metal Factory to unlock!
buildinginfo.json/LivingResearchCenter.name|Living Research Center
buildinginfo.json/LivingResearchCenter.description|Upgrades for homes can be researched here. Also houses two people and produces knowledge.
buildinginfo.json/LivingResearchCenter.showUnlockHint|Have at least 200 citizens with homes to unlock!
buildinginfo.json/HackerHQ.name|Hackers of the Bolt HQ
buildinginfo.json/HackerHQ.description|These hardware hackers are actually really nice and helpful.\nThey spend most of their days tinkering around with computers and electronics. Some of their inventions are more useful than others.
buildinginfo.json/HackerHQ.showUnlockHint|Build at least three Arcades to unlock!
buildinginfo.json/AlienDecryptor.name|Alien Decryptor
buildinginfo.json/AlienDecryptor.description|A specialized computer built to decrypt alien secrets.
buildinginfo.json/EscapeRoom.name|Lab Escape Room
buildinginfo.json/EscapeRoom.description|A challenging lab-themed escape room, which generates gaming entertainment happiness. It also has lasers!
buildinginfo.json/Misdirector.name|Misdirector
buildinginfo.json/Misdirector.description|Whenever someone uses a teleporter, there is a small chance they will be brought here instead. This will confuse them for a short while. This invention is not completely useless though: you will gain some knowledge each time. Also, the Misdirector halves the operating cost of teleporters.
buildinginfo.json/TheContraption.name|The Contraption
buildinginfo.json/TheContraption.description|.
buildinginfo.json/SecretSocietyHouse.name|Secret Society of the Key
buildinginfo.json/SecretSocietyHouse.description|The Secret Society of the Key requests a place of residence. It can then give you tasks that you would be honored to complete.
buildinginfo.json/TheMachine.name|The Machine
buildinginfo.json/TheMachine.description|Makes Secret Society of the Key members live forever. Also produces random resources every day.
buildinginfo.json/BlossomHippieHQ.name|Blossom Hippies Center
buildinginfo.json/BlossomHippieHQ.description|These hippies love flowers, peace and music. They have a few tasks for you, if you don't mind.
buildinginfo.json/BlossomHippieHQ.showUnlockHint|Build a stack of Botanical Gardens at least twenty buildings high to unlock!
buildinginfo.json/FestivalHQ.name|Festival HQ
buildinginfo.json/FestivalHQ.description|Organize awesome festivals to entertain your citizens!
buildinginfo.json/Supercomputer.name|Supercomputer
buildinginfo.json/Supercomputer.description|Produces knowledge based on the amount of lab employees in your city. Also allows you to research some city upgrades.
buildinginfo.json/RocketLaunchPlatform.name|Rocket Launch Platform

buildinginfo.json/TreeHuggerBase.name|Tree Hugger Base
buildinginfo.json/TreeHuggerBase.description|Who wouldn't hug this tree?
buildinginfo.json/FossilMuseum.name|Museum of Space Fossils
buildinginfo.json/FossilMuseum.description|Fossils found by the Fossil Detector are displayed here. Improves the education of visitors. Workers produce knowledge based on the number of fossils you found.
buildinginfo.json/StatueOfHappiness.name|Statue of Happiness
buildinginfo.json/StatueOfHappiness.description|Your citizens' reward for reaching 100 happiness!
buildinginfo.json/StatueOfTheKey.name|Statue of the Key
buildinginfo.json/StatueOfTheKey.description|The birthday gift of a Secret Society of the Key member who reached the respectable age of 500!
buildinginfo.json/Beacon.name|The Beacon
buildinginfo.json/Beacon.description|Your citizens' reward for keeping them really happy for a while!
buildinginfo.json/Beacon.showUnlockHint|Maintain :D or better happiness for at least fourteen days to unlock!
buildinginfo.json/ShadyHome.name|Shady Home
buildinginfo.json/ShadyHome.description|
buildinginfo.json/UnknownBuilding.name|Unknown Building
buildinginfo.json/UnknownBuilding.description|???

buildingUpgradesInfo.json/Flowers.name|Flowers
buildingUpgradesInfo.json/Flowers.description|Flowers improve the happiness of residents. Improves housing quality by 5.
buildingUpgradesInfo.json/MachinePartsFactoryEfficiency.name|Scrap Metal Recycling
buildingUpgradesInfo.json/MachinePartsFactoryEfficiency.description|Two stone is now used to make a machine part instead of three.
buildingUpgradesInfo.json/FactoryDisabled.name|Disable Factory
buildingUpgradesInfo.json/FactoryDisabled.description|The factory will fully halt production.
buildingUpgradesInfo.json/StoneUsingFactoryDisabled.name|Disable Factory
buildingUpgradesInfo.json/StoneUsingFactoryDisabled.description|The factory will fully halt production and not use any stone.
buildingUpgradesInfo.json/RefinedStoneUsingFactoryDisabled.name|Disable Factory
buildingUpgradesInfo.json/RefinedStoneUsingFactoryDisabled.description|The factory will fully halt production and not use any refined metals.
buildingUpgradesInfo.json/MachinePartsFactoryTurbo.name|Turbo Boost
buildingUpgradesInfo.json/MachinePartsFactoryTurbo.description|The factory will work twice as fast, but also use two more stone per machine part.
buildingUpgradesInfo.json/RefinedMetalsFactoryHack.name|Firmware Modding
buildingUpgradesInfo.json/RefinedMetalsFactoryHack.description|The factory will work 50% faster, but also use one more stone per unit of refined metal produced.
buildingUpgradesInfo.json/FactoryWorking.name|Enable Factory
buildingUpgradesInfo.json/FactoryWorking.description|The factory will work normally.
buildingUpgradesInfo.json/LabWorking.name|Enable Lab
buildingUpgradesInfo.json/LabWorking.description|The lab will work normally.
buildingUpgradesInfo.json/LabDisabled.name|Disable Lab
buildingUpgradesInfo.json/LabDisabled.description|The lab will not use any machine parts nor produce knowledge. It can still boost Refined Metal Factories.
buildingUpgradesInfo.json/LiteratureReviews.name|Literature Reviews
buildingUpgradesInfo.json/LiteratureReviews.description|The lab will not use any machine parts, but its knowledge output is halved. It can still boost Refined Metal Factories.
buildingUpgradesInfo.json/FarmingResearch.name|Genetic Crop Engineering
buildingUpgradesInfo.json/FarmingResearch.description|Crops of adjacent farms produce 7 more food per harvest.
buildingUpgradesInfo.json/TreePlantationResearch.name|Tree Growth Gas
buildingUpgradesInfo.json/TreePlantationResearch.description|Trees in adjacent tree plantations grow 20% faster.
buildingUpgradesInfo.json/BetterPickaxes.name|Better Pickaxes
buildingUpgradesInfo.json/BetterPickaxes.description|Use better pickaxes to improve mining speed by 20%.
buildingUpgradesInfo.json/AIMining.name|AI-assisted Mining
buildingUpgradesInfo.json/AIMining.description|Use a computer system to improve mining speed by 30%.
buildingUpgradesInfo.json/DieShrink.name|Die Shrink
buildingUpgradesInfo.json/DieShrink.description|The factory will work 50% faster and use two less units of refined metals per computer chip.
buildingUpgradesInfo.json/BetterLightShow.name|Better Light Show
buildingUpgradesInfo.json/BetterLightShow.description|The entertainment capacity of the building will be doubled.
buildingUpgradesInfo.json/MedicalEducation.name|Improved Medical Education
buildingUpgradesInfo.json/MedicalEducation.description|The quality of this building will be increased by 25% of the education happiness.
buildingUpgradesInfo.json/AIAssistedDiagnosis.name|Computer-Aided Diagnosis
buildingUpgradesInfo.json/AIAssistedDiagnosis.description|The quality of this building will be increased by 25 and its capacity will be doubled.
buildingUpgradesInfo.json/StoneTeleporterRemote.name|Remote Control
buildingUpgradesInfo.json/StoneTeleporterRemote.description|The worker of the rock teleporter can teleport stone even if they're somewhere else. This allows them to help mine stone as well.
buildingUpgradesInfo.json/BiggerTV.name|Bigger TV
buildingUpgradesInfo.json/BiggerTV.description|Improves housing quality by 5. Adds capacity for one resident.
buildingUpgradesInfo.json/ModernHomePlant.name|Air-Cleaning Plant
buildingUpgradesInfo.json/ModernHomePlant.description|A plant that's been cultivated to be extremely good at cleaning the air. Improves housing quality by 10 and makes residents live longer.
buildingUpgradesInfo.json/HeatedBed.name|Heated Bed
buildingUpgradesInfo.json/HeatedBed.description|Improves housing quality by 20.
buildingUpgradesInfo.json/SmartChairs.name|Smart Chairs
buildingUpgradesInfo.json/SmartChairs.description|Improves housing quality by 10.
buildingUpgradesInfo.json/ModernConveniences.name|Modern Conveniences
buildingUpgradesInfo.json/ModernConveniences.description|Improves housing quality by 15.
buildingUpgradesInfo.json/WorkshopKnowledge.name|Pet Projects
buildingUpgradesInfo.json/WorkshopKnowledge.description|Gather knowledge.
buildingUpgradesInfo.json/WorkshopMachineParts.name|Craft Machine Parts
buildingUpgradesInfo.json/WorkshopMachineParts.description|Create machine parts from wood.
buildingUpgradesInfo.json/StarDatabase.name|Star Database
buildingUpgradesInfo.json/StarDatabase.description|This building produces 50% more knowledge. If the Precise Universe Mapping upgrade from the Supercomputer has been researched, it produces 500% more knowledge instead.
buildingUpgradesInfo.json/SofterBeds.name|Extremely Soft Beds
buildingUpgradesInfo.json/SofterBeds.description|Improves housing quality by 10.
buildingUpgradesInfo.json/BoardGameCollection.name|Board Game Collection
buildingUpgradesInfo.json/BoardGameCollection.description|Improves housing quality by 15.
buildingUpgradesInfo.json/SmartLights.name|Smart Lights
buildingUpgradesInfo.json/SmartLights.description|Improves housing quality by 15.
buildingUpgradesInfo.json/LivingComputer.name|Living Computer
buildingUpgradesInfo.json/LivingComputer.description|Improves housing quality by 20.
buildingUpgradesInfo.json/BetterTools.name|Better Tools
buildingUpgradesInfo.json/BetterTools.description|Improves housing quality by 20.
buildingUpgradesInfo.json/MisdirectorNormal.name|Enable
buildingUpgradesInfo.json/MisdirectorNormal.description|The Misdirector is predictably unpredictable.
buildingUpgradesInfo.json/MisdirectorAlways.name|Overclock
buildingUpgradesInfo.json/MisdirectorAlways.description|Any attempt at teleportation will bring people here. Perfect to stop excess productivity.\nThe knowledge gain per misdirection is reduced by 90% because the device is overloaded.
buildingUpgradesInfo.json/MisdirectorMostlyDisabled.name|Mostly Disable
buildingUpgradesInfo.json/MisdirectorMostlyDisabled.description|There's an OFF button. It mostly works.
buildingUpgradesInfo.json/MisdirectorDisabled.name|Disable
buildingUpgradesInfo.json/MisdirectorDisabled.description|With some effort, the Misdirector can be tamed.
buildingUpgradesInfo.json/IndoorPond.name|Indoor Pond
buildingUpgradesInfo.json/IndoorPond.description|Improves housing quality by 15.
buildingUpgradesInfo.json/CHProduceStone.name|Rock
buildingUpgradesInfo.json/CHProduceStone.description|Produce stone.
buildingUpgradesInfo.json/CHProduceWood.name|Tree
buildingUpgradesInfo.json/CHProduceWood.description|Produce wood.
buildingUpgradesInfo.json/CHProduceFood.name|Crops
buildingUpgradesInfo.json/CHProduceFood.description|Produce food.
buildingUpgradesInfo.json/PickaxeTech.name|Peer-Reviewed Pickaxe Part Papers
buildingUpgradesInfo.json/PickaxeTech.description|The boost to stone production is increased and scales faster with knowledge production.
buildingUpgradesInfo.json/FossilScanner.name|Fossil Detector
buildingUpgradesInfo.json/FossilScanner.description|Whenever a rock teleporter teleports a meteoroid, there is a tiny chance that a fossil is detected in it. When this happens, you gain 10000 knowledge.
buildingUpgradesInfo.json/UltimateScrewdriver.name|Ultra-High-Tech Screwdriver
buildingUpgradesInfo.json/UltimateScrewdriver.description|You gain two more knowledge for each machine part used.
buildingUpgradesInfo.json/AutomaticWaterManagement.name|Automatic Water Management
buildingUpgradesInfo.json/AutomaticWaterManagement.description|The passive growth speed of these trees is tripled.
buildingUpgradesInfo.json/CulinaryHerbs.name|Culinary Herbs
buildingUpgradesInfo.json/CulinaryHerbs.description|Increases the capacity of restaurants to the left and right of the garden.
buildingUpgradesInfo.json/MedicalHerbs.name|Medicinal Herbs
buildingUpgradesInfo.json/MedicalHerbs.description|Improves the medical happiness. Herb gardens can't provide more than 20% of the medical happiness in total.
buildingUpgradesInfo.json/ComfortableCouch.name|Comfortable Couch
buildingUpgradesInfo.json/ComfortableCouch.description|Improves housing quality by 15.
buildingUpgradesInfo.json/SmartSpeaker.name|Somewhat Smart Speaker
buildingUpgradesInfo.json/SmartSpeaker.description|Improves housing quality by 10.

buildableWorldResourcesInfo.json/Forest.name|Forest
buildableWorldResourcesInfo.json/Forest.description|Plant young trees which will grow to a forest.
buildableWorldResourcesInfo.json/PineForest.name|Pine Forest
buildableWorldResourcesInfo.json/PineForest.description|Plant young trees which will grow to a pine forest.
buildableWorldResourcesInfo.json/Rock.name|Rock
buildableWorldResourcesInfo.json/Rock.description|Place a rock on a world for decoration. It can be mined, unless you protect it.
buildableWorldResourcesInfo.json/Boulder.name|Boulder
buildableWorldResourcesInfo.json/Boulder.description|Place a boulder on a world for decoration. It can be mined, unless you protect it.

categories/Houses.name|Houses
categories/Production.name|Production
categories/Services.name|Services
categories/Entertainment.name|Entertainment
categories/Transportation.name|Transportation
categories/Unique Buildings.name|Unique Buildings
categories/Decoration & Nature.name|Decoration & Nature

categories/Houses.description|Build houses for your citizens to live in.
categories/Production.description|Build production buildings to get more resources.
categories/Services.description|Services help people, improving their lives.
categories/Entertainment.description|Build entertainment to keep your citizens happy.
categories/Transportation.description|Build transportation to let citizens move on and between worlds quickly.
categories/Unique Buildings.description|Only one of each of these special buildings can be built.
categories/Decoration & Nature.description|Place decoration on the ground, and plant forests.

cityUpgradesInfo.json/UniverseMapping.name|Precise Universe Mapping
cityUpgradesInfo.json/UniverseMapping.description|Rock Teleporters teleport bigger meteoroids.
cityUpgradesInfo.json/OptimizedChipLayouts.name|Optimized Chip Layouts
cityUpgradesInfo.json/OptimizedChipLayouts.description|Computer Chip Factories work 33% faster.
cityUpgradesInfo.json/MedicalMachineLearning.name|Medical Machine Learning
cityUpgradesInfo.json/MedicalMachineLearning.description|Makes your citizens live longer.
cityUpgradesInfo.json/WoodenLiving.name|Wooden Living
cityUpgradesInfo.json/WoodenLiving.description|Improves the house quality of all Wooden Houses by 10.
cityUpgradesInfo.json/SpaciousLiving.name|Spacious Living
cityUpgradesInfo.json/SpaciousLiving.description|Improves the house quality of all Spacious Houses by 15.
cityUpgradesInfo.json/SlimyLiving.name|Slimy Living
cityUpgradesInfo.json/SlimyLiving.description|Improves the house quality of all Alien Houses by 25. Also unlocks a building upgrade for them.
cityUpgradesInfo.json/SecretiveLiving.name|Secretive Living
cityUpgradesInfo.json/SecretiveLiving.description|Improves the house quality of the Secret Society of the Key by 25.
cityUpgradesInfo.json/MechanicalLiving.name|Mechanical Living
cityUpgradesInfo.json/MechanicalLiving.description|Adds capacity for one more resident in all Mechanical Houses and Tinkerers' Houses.
cityUpgradesInfo.json/SuperSpaciousLiving.name|Societal Living
cityUpgradesInfo.json/SuperSpaciousLiving.description|Adds capacity for one more resident in all Spacious Houses.
cityUpgradesInfo.json/BirthControl.name|Birth Control
cityUpgradesInfo.json/BirthControl.description|Allows you to decrease or increase the population growth.
cityUpgradesInfo.json/BuildingRecycling.name|Building Recycling
cityUpgradesInfo.json/BuildingRecycling.description|When you destroy a building, you get back half its cost.
cityUpgradesInfo.json/BuildingRecycling2.name|Smart Demolition (Currently: Building Recycling)
cityUpgradesInfo.json/BuildingRecycling2.description|When you destroy a building, you get back 75% of its cost (currently 50%).
cityUpgradesInfo.json/BuildingRecycling3.name|Sustainable Building (Currently: Smart Demolition)
cityUpgradesInfo.json/BuildingRecycling3.description|When you destroy a building, you get back 90% of its cost (currently 75%).
cityUpgradesInfo.json/ChipBinning.name|Chip Binning
cityUpgradesInfo.json/ChipBinning.description|Computer Chip Factories work 20% faster.

decorationsInfo.json/spr_grass.name|High Grass
decorationsInfo.json/spr_flowers.name|High Grass with Flowers
decorationsInfo.json/spr_decoration_rocks.name|Small Rocks
decorationsInfo.json/spr_removedecoration.name|Remove Decoration
decorationsInfo.json/spr_removedecoration.description|Clear any decoration from a world surface.

stories.json/theLostShip.name|A New Beginning
stories.json/theLostShip.description|Earth is a wasteland. You built a space ship, but now food is running out. A tiny world is your only hope.
stories.json/multipleWorlds.name|An Interworld City
stories.json/multipleWorlds.description|When a world turns out to be way too small, you decide to build a city that crosses worlds.
stories.json/computerization.name|Computerization
stories.json/computerization.description|Use computers to modernize a city.
stories.json/hackersandaliens.name|Hacking Alien Tech
stories.json/hackersandaliens.description|You discover some alien influences on your newest outpost.
stories.json/FreePlayMegaWorld.name|Free Play - Mega World
